risk	id	score	file	issues	summary
low	V3B-T005	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_024901_093.json		The plan aligns well with the goal, covering research, service implementation, and UI updates without introducing any fabrication or inconsistencies.
low	V3B-T009	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_025050_093.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T014	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_025410_093.json		The plan accurately addresses the goal by researching the current implementation, updating the UI to include a dry-run toggle and banner, and implementing the dry-run logic in the session class.
low	V3B-T011	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_025231_087.json		The plan accurately addresses the goal by updating both the code and UI to track and display task result sizes.
low	V3B-T020	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_025728_087.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3B-T025	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_030101_087.json		The plan aligns with the goal, adding a button to trigger manual checkpoints and logging the result.
low	V3B-T033	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_030639_087.json		The plan aligns with the goal and does not introduce any fabrication risks.
low	V3B-T001	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_024638_084.json		The plan aligns well with the goal, providing a clear and consistent approach to adding a recent-errors flyout to the MainWindow.xaml status bar.
low	V3B-T002	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_024717_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3B-T003	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_024747_084.json		The plan aligns with the goal, providing a clear sequence of tasks to implement double-click-to-rename behavior in a WPF application.
low	V3B-T004	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_024825_084.json		The plan aligns with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3B-T006	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_024931_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T007	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_024954_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T008	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025015_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T010	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025123_084.json		The plan aligns well with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3B-T012	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025310_084.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3B-T013	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025340_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T015	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025433_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3B-T016	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025509_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T017	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025606_084.json		The plan aligns well with the goal, ensuring a warm-up button is added and functionality is implemented correctly without introducing any inconsistencies or fabrications.
low	V3B-T018	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025631_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3B-T019	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025703_084.json		The plan aligns well with the goal, providing clear tasks for researching WPF animations and event binding, updating the OllamaClient.cs and MainWindow.xaml.cs logic, and adding an animated indicator to the MainWindow.xaml.
low	V3B-T021	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025821_084.json		The plan accurately addresses the goal by researching necessary techniques, updating the code to compute and display the total size and count, and modifying the UI to show these values.
low	V3B-T022	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025922_084.json		The plan aligns with the goal, detailing tasks for researching keyboard navigation and clipboard handling, updating the UI, and implementing the necessary logic.
low	V3B-T023	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_025957_084.json		The plan aligns well with the goal, providing a clear and logical sequence of tasks to achieve the desired functionality.
low	V3B-T024	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030026_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T026	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030220_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T027	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030306_084.json		The plan aligns with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3B-T028	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030352_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T029	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030431_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T032	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030604_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3B-T034	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030703_084.json		The plan aligns well with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3B-T035	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_030736_084.json		The plan aligns with the goal, providing a clear sequence of tasks for adding a probe-age warning to the Model Wiki detail pane.
