risk	id	score	file	issues	summary
low	V3-T020	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_013209_093.json		The plan is well-aligned with the goal, covering research, coding, and UI updates without introducing any fabrication or inconsistencies.
low	V3-T024	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_013424_093.json		The plan aligns well with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T028	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_013723_093.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T031	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_013938_093.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T032	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_014020_093.json		The plan accurately aligns with the goal, providing clear steps for adding an EstimatedTokens property and displaying it in the UI.
low	V3-T035	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_014244_093.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T052	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_015244_093.json		The plan aligns well with the goal, detailing tasks that logically follow each other without introducing fabrication or inconsistencies.
low	V3-T064	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_020051_093.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T067	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_020217_093.json		The plan aligns well with the goal, providing a clear and logical approach to track model usage and display it in the UI.
low	V3-T086	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_021147_093.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T089	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_021506_093.json		The plan aligns with the goal, covering all specified scenarios without introducing any fabrication or inconsistencies.
low	V3-T097	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_022205_093.json		The plan aligns well with the goal and does not introduce any fabrication or internal inconsistencies.
low	V3-T136	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_023926_093.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T140	93	.orc/swarm/dataset-staging/plan_capture_good_20260611_024120_093.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T055	90	.orc/swarm/dataset-staging/plan_capture_good_20260611_015421_090.json		The plan aligns well with the goal, providing a clear and logical sequence of tasks to implement a live tokens-per-second meter in the application.
low	V3-T026	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_013610_087.json		The plan accurately addresses the goal by adding a cancel button to each running task card and implementing the necessary methods in both SwarmSession.cs and SwarmBoardPanel.xaml.cs.
low	V3-T039	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_014537_087.json		The plan accurately addresses the goal by adding a character counter with specified behavior.
low	V3-T040	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_014614_087.json		The plan accurately addresses the goal of adding a free-text notes field and saving it as 'run_notes.txt' in the run folder upon completion.
low	V3-T042	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_014712_087.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T043	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_014756_087.json		The plan accurately addresses the goal by adding a timer to the Swarm Board header and implementing the necessary logic in both XAML and code-behind.
low	V3-T045	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_014924_087.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T068	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_020240_087.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T074	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_020459_087.json		The plan aligns with the goal and does not introduce any fabrication or inconsistencies.
low	V3-T088	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_021427_087.json		The plan accurately addresses the goal by creating a specific NUnit test class with detailed test cases, and includes a tester task to run and report on those tests.
low	V3-T090	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_021558_087.json		The plan aligns with the goal, covering necessary test cases for ProcessRunner.cs without introducing fabrication or inconsistencies.
low	V3-T124	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_023443_087.json		The plan aligns with the goal, investigating necessary PowerShell commands and implementing a script that builds specified projects, handles errors, and outputs build results.
low	V3-T141	87	.orc/swarm/dataset-staging/plan_capture_good_20260611_024144_087.json		The plan accurately addresses the goal by adding --limit and --dry-run options to convert_plan_captures.py.
low	V3-T001	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_011948_084.json		The plan is consistent with the goal and does not introduce any fabrication or contradictions.
low	V3-T002	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012053_084.json		The plan is consistent with the goal and does not introduce any fabrication.
low	V3-T003	84	.orc/swarm/dataset-staging/plan_capture_good_20260611_012229_084.json		The plan aligns with the goal and does not introduce any fabrication or internal inconsistencies.
